GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=6144  N=8192 seed=12 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 28311552; x_rot differing bytes 0 / 201326592  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=6144  N=1000 seed=13 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 3456000  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=6144  N=1    seed=14 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 3456  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=4096  N=513  seed=15 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 1181952; x_rot differing bytes 0 / 8404992  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=3328  N=77   seed=16 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 144144  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=512   N=64   seed=17 xrot=0 special | untouched blocks: 0 | i4 differing bytes 0 / 18432  ORACLE_PASS
GATED_NORM_MQ_ROTATE_I4_GFX12_V2_SRC           gatedn   K=8192  N=33   seed=18 xrot=1 special | untouched blocks: 0 | i4 differing bytes 0 / 152064; x_rot differing bytes 0 / 1081344  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=8192 seed=12 xrot=1 normal  | untouched blocks: 0 | i4 differing bytes 0 / 28311552; x_rot differing bytes 0 / 201326592  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=1000 seed=13 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 3456000  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=6144  N=1    seed=14 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 3456  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=5120  N=333  seed=15 xrot=0 normal  | untouched blocks: 0 | i4 differing bytes 0 / 959040  ORACLE_PASS
SIGMOID_MUL_MQ_ROTATE_X_AWQ_I4_GFX12_SRC       sig      K=3328  N=77   seed=16 xrot=1 normal  | untouched blocks: 0 | i4 differing bytes 0 / 144144; x_rot differing bytes 0 / 1025024  ORACLE_PASS
