[201, 170, 152, 110, 206, 160, 220, 230]	[0.17051977, 0.16480327, 0.15143658, 0.14112501, 0.10633924, 0.09093953, 0.088780075, 0.08605656]
[137, 191, 146, 64, 4, 99, 97, 239]	[0.17125988, 0.15436175, 0.1543035, 0.14757107, 0.112198845, 0.09375134, 0.083467506, 0.0830861]
[31, 194, 47, 207, 15, 246, 105, 122]	[0.21287735, 0.1812913, 0.16982043, 0.13608006, 0.08015592, 0.07819946, 0.07247434, 0.06910111]
[166, 15, 33, 35, 200, 21, 25, 46]	[0.21221806, 0.170421, 0.14456135, 0.11767765, 0.09364415, 0.0893778, 0.08847014, 0.08362983]
[193, 50, 91, 172, 240, 225, 16, 63]	[0.20417978, 0.19438197, 0.114331126, 0.10846136, 0.099454865, 0.09664948, 0.09136558, 0.091175914]
[221, 100, 72, 121, 58, 142, 143, 7]	[0.23514025, 0.15932497, 0.13014679, 0.11937574, 0.11538556, 0.114380136, 0.07042303, 0.055823535]
[130, 49, 70, 25, 240, 59, 106, 162]	[0.2446061, 0.17216484, 0.12227063, 0.10482649, 0.0965175, 0.08815069, 0.08685943, 0.084604315]
[88, 191, 123, 200, 237, 41, 33, 229]	[0.28893226, 0.21570607, 0.13760918, 0.092313826, 0.08032749, 0.06921588, 0.06066173, 0.055233564]
[167, 101, 247, 82, 13, 22, 20, 158]	[0.3516508, 0.119834065, 0.11501641, 0.10263528, 0.08624087, 0.08135645, 0.07366928, 0.06959684]
[194, 155, 68, 56, 120, 87, 64, 244]	[0.17923892, 0.16188258, 0.12618935, 0.124072134, 0.12398318, 0.106332526, 0.09933315, 0.07896819]
[140, 242, 220, 66, 145, 144, 49, 149]	[0.16721377, 0.15511827, 0.14654526, 0.14483492, 0.12701435, 0.11189449, 0.077984944, 0.06939399]
[188, 6, 191, 18, 155, 131, 189, 140]	[0.2175515, 0.17068347, 0.11987119, 0.11798417, 0.10047902, 0.09760987, 0.09014073, 0.08568008]
[92, 105, 65, 41, 40, 255, 23, 242]	[0.3519402, 0.14091435, 0.12818266, 0.09087723, 0.088039406, 0.070635736, 0.065521955, 0.06388842]
[215, 167, 198, 245, 126, 37, 121, 144]	[0.46038476, 0.12961587, 0.10237542, 0.08044483, 0.06541573, 0.05812675, 0.055656772, 0.047979806]
[195, 253, 217, 46, 121, 209, 82, 131]	[0.27796808, 0.20972887, 0.16941585, 0.09606526, 0.07546475, 0.05976073, 0.05957812, 0.052018337]
[239, 23, 220, 87, 57, 37, 55, 63]	[0.1997601, 0.19538611, 0.12277726, 0.122362174, 0.10011966, 0.09197995, 0.08877765, 0.07883704]
[40, 91, 235, 172, 193, 3, 225, 144]	[0.1884545, 0.15856391, 0.14804123, 0.110908926, 0.10669862, 0.10440002, 0.09611834, 0.08681444]
[221, 142, 100, 169, 103, 107, 0, 158]	[0.31357703, 0.2379075, 0.14577065, 0.08150357, 0.06211953, 0.056405768, 0.05246191, 0.05025414]
[139, 229, 106, 173, 77, 201, 244, 193]	[0.21783787, 0.12833169, 0.12593254, 0.11788999, 0.110066704, 0.100993335, 0.09978429, 0.09916345]
[135, 88, 123, 191, 200, 118, 120, 33]	[0.17355342, 0.14582051, 0.13745174, 0.11694617, 0.10966276, 0.10940082, 0.105932325, 0.1012322]
[103, 167, 249, 20, 101, 42, 82, 158]	[0.18577367, 0.1731139, 0.14164816, 0.12774855, 0.11339397, 0.09235042, 0.08610003, 0.07987137]
[56, 87, 61, 214, 68, 104, 197, 65]	[0.2397462, 0.23949334, 0.119631216, 0.09948134, 0.07793997, 0.075278535, 0.07520198, 0.073227294]
[50, 145, 226, 149, 239, 242, 66, 144]	[0.16487359, 0.16315405, 0.124962404, 0.1203538, 0.11504756, 0.11375922, 0.11054227, 0.087307125]
[119, 189, 188, 64, 131, 218, 155, 6]	[0.1851706, 0.18455629, 0.16350423, 0.120129496, 0.09980154, 0.08293738, 0.0822143, 0.0816861]
[65, 41, 105, 255, 70, 92, 106, 111]	[0.17578201, 0.17198674, 0.14608142, 0.13830586, 0.10468886, 0.09267114, 0.090432204, 0.08005178]
[215, 198, 37, 99, 71, 29, 57, 167]	[0.36254933, 0.19234286, 0.08546879, 0.08117514, 0.07500857, 0.06857839, 0.06753402, 0.06734288]
[253, 121, 99, 46, 131, 217, 195, 48]	[0.23224829, 0.12423397, 0.12227164, 0.11619415, 0.10822289, 0.10279516, 0.097868994, 0.09616487]
[23, 215, 220, 87, 114, 80, 153, 57]	[0.1643677, 0.14025223, 0.13251066, 0.12994395, 0.12521008, 0.11586443, 0.09664286, 0.095208116]
[205, 143, 25, 5, 187, 132, 11, 93]	[0.20384616, 0.16793485, 0.14359036, 0.12165807, 0.106638335, 0.09207212, 0.08355731, 0.080702834]
[228, 144, 90, 15, 235, 173, 167, 64]	[0.20522405, 0.18007807, 0.14434355, 0.117554404, 0.10524284, 0.08955948, 0.08080109, 0.07719659]
